Player,POS,Team,Receptions,Rec Yds,Rec TD
Antonio Brown,WR,PIT,8,125,1
Julio Jones,WR,ATL,9,110,1
DeAndre Hopkins,WR,HOU,8,105,1
Michael Thomas,WR,NO,8,105,1
Tyreek Hill,WR,KC,6,100,1
Odell Beckham,WR,NYG,6,90,1
Emmanuel Sanders,WR,DEN,6,85,1
Davante Adams,WR,GB,5,80,1
Keenan Allen,WR,LAC,7,80,1
Brandin Cooks,WR,LAR,6,75,1
Stefon Diggs,WR,MIN,6,80,1
Mike Evans,WR,TB,7,80,1
A.J. Green,WR,CIN,6,80,1
Jarvis Landry,WR,CLE,6,80,1
Kenny Stills,WR,MIA,6,80,1
Kenny Golladay,WR,DET,5,75,1
Adam Thielen,WR,MIN,5,75,1
JuJu Smith-Schuster,WR,PIT,5,70,1
Nelson Agholor,WR,PHI,6,65,1
Corey Davis,WR,TEN,4,65,1
Devin Funchess,WR,CAR,4,65,1
Tyler Lockett,WR,SEA,4,65,1
Randall Cobb,WR,GB,5,60,1
Michael Crabtree,WR,BAL,5,60,1
Pierre Garcon,WR,SF,5,60,1
Mike Williams,WR,LAC,5,60,1
Quincy Enunwa,WR,NYJ,5,55,1
Will Fuller,WR,HOU,3,50,1
Cooper Kupp,WR,LAR,4,50,1
Chris Godwin,WR,TB,3,40,1
Robby Anderson,WR,NYJ,5,70,0
Larry Fitzgerald,WR,ARI,6,70,0
T.Y. Hilton,WR,IND,5,70,0
Chris Hogan,WR,NE,5,65,0
Allen Robinson,WR,CHI,4,65,0
Ted Ginn,WR,NO,4,50,0
Jamison Crowder,WR,WAS,4,55,0
Marvin Jones,WR,DET,4,55,0
Dante Pettis,WR,SF,4,55,0
Robert Woods,WR,LAR,4,55,0
Geronimo Allison,WR,GB,4,50,0
Jordy Nelson,WR,OAK,4,50,0
Sterling Shepard,WR,NYG,5,50,0
Danny Amendola,WR,MIA,5,45,0
Cole Beasley,WR,DAL,4,45,0
Keelan Cole,WR,JAX,4,45,0
Phillip Dorsett,WR,NE,3,45,0
Dede Westbrook,WR,JAX,3,45,0
Tyrell Williams,WR,LAC,3,45,0
John Brown,WR,BAL,3,40,0
Antonio Callaway,WR,CLE,3,40,0
Ryan Grant,WR,IND,3,40,0
DeSean Jackson,WR,TB,2,40,0
Donte Moncrief,WR,JAX,3,40,0
DeVante Parker,WR,MIA,4,40,0
John Ross,WR,CIN,3,40,0
Mohamed Sanu,WR,ATL,3,40,0
Willie Snead,WR,BAL,3,40,0
Sammy Watkins,WR,KC,3,40,0
Josh Doctson,WR,WAS,2,35,0
Allen Hurns,WR,DAL,2,35,0
Courtland Sutton,WR,DEN,3,35,0
Mike Wallace,WR,PHI,2,35,0
Terrance Williams,WR,DAL,3,35,0
Tyler Boyd,WR,CIN,2,30,0
Taylor Gabriel,WR,CHI,3,30,0
Zay Jones,WR,BUF,3,30,0
Calvin Ridley,WR,ATL,3,30,0
Chester Rogers,WR,IND,2,30,0
Torrey Smith,WR,CAR,2,30,0
Tre'Quan Smith,WR,NO,3,30,0
James Washington,WR,PIT,2,30,0
Albert Wilson,WR,MIA,2,30,0
Michael Gallup,WR,DAL,2,25,0
Rashard Higgins,WR,CLE,2,25,0
Adam Humphries,WR,TB,2,25,0
Christian Kirk,WR,ARI,2,25,0
Cody Latimer,WR,NYG,2,25,0
Anthony Miller,WR,CHI,2,25,0
Seth Roberts,WR,OAK,2,25,0
Tajae Sharpe,WR,TEN,2,25,0
Laquon Treadwell,WR,MIN,2,25,0
Chad Williams,WR,ARI,2,25,0
Jarius Wright,WR,CAR,2,25,0
Jaron Brown,WR,SEA,1,20,0
Jermaine Kearse,WR,NYJ,2,20,0
J.J. Nelson,WR,ARI,2,20,0
Cordarrelle Patterson,WR,NE,1,20,0
Paul Richardson,WR,WAS,1,20,0
Taywan Taylor,WR,TEN,1,20,0
Trent Taylor,WR,SF,2,20,0
Tavon Austin,WR,DAL,1,10,0
Demarcus Robinson,WR,KC,1,15,0
D.J. Chark,WR,JAX,1,10,0
Chris Conley,WR,KC,1,10,0
Justin Hardy,WR,ATL,1,10,0
D.J. Moore,WR,CAR,1,10,0
Kevin White,WR,CHI,1,10,0
