Player,FG,FGA,FGLg,XP,XPAtt,XPB,FPTS,POS
"Adam Vinatieri, IND",2.2,2.6,0,3.1,3.1,0.0,10,K
"Stephen Gostkowski, NE",2.1,2.5,0,3.3,3.3,0.0,9,K
"Wil Lutz, NO",2.0,2.1,0,3.4,3.4,0.0,9,K
"Brett Maher, DAL",2.0,2.4,0,3.0,3.0,0.0,9,K
"Greg Zuerlein, LAR",2.0,2.3,0,3.0,3.0,0.0,9,K
"Harrison Butker, KC",1.9,2.2,0,3.1,3.1,0.0,8,K
"Matt Bryant, ATL",1.9,2.1,0,2.7,2.7,0.0,8,K
"Ka'imi Fairbairn, HOU",2.1,2.4,0,2.2,2.2,0.0,8,K
"Jason Myers, NYJ",2.0,2.2,0,2.3,2.3,0.0,8,K
"Brandon McManus, DEN",1.8,2.1,0,3.0,3.0,0.0,8,K
"Jake Elliott, PHI",1.8,2.2,0,2.9,2.9,0.0,8,K
"Ryan Succop, TEN",1.9,2.2,0,2.5,2.5,0.0,8,K
"Sebastian Janikowski, SEA",1.7,2.1,0,2.9,2.9,0.0,8,K
"Greg Joseph, CLE",1.8,2.1,0,2.7,2.7,0.0,8,K
"Mason Crosby, GB",1.7,2.2,0,2.8,2.8,0.0,8,K
"Mike Badgley, LAC",1.8,1.9,0,2.6,2.6,0.0,8,K
"Robbie Gould, SF",1.9,2.0,0,2.2,2.2,0.0,8,K
"Dan Bailey, MIN",1.7,2.2,0,2.6,2.6,0.0,7,K
"Aldrick Rosas, NYG",1.8,1.9,0,2.1,2.1,0.0,7,K
"Justin Tucker, BAL",1.7,1.8,0,2.3,2.3,0.0,7,K
"Cody Parkey, CHI",1.6,2.1,0,2.7,2.7,0.0,7,K
"Jason Sanders, MIA",1.6,1.6,0,2.6,2.6,0.0,7,K
"Matt Prater, DET",1.7,2.0,0,2.0,2.0,0.0,7,K
"Chris Boswell, PIT",1.5,2.1,0,2.5,2.5,0.0,7,K
"Daniel Carlson, OAK",1.5,2.0,0,2.3,2.3,0.0,7,K
"Chandler Catanzaro, CAR",1.4,1.9,0,2.5,2.5,0.0,6,K
"Kai Forbath, JAC",1.4,1.6,0,1.8,1.8,0.0,6,K
"Cairo Santos, TB",1.3,1.6,0,2.2,2.2,0.0,6,K
"Stephen Hauschka, BUF",1.3,1.5,0,1.6,1.6,0.0,5,K
"Randy Bullock, CIN",1.2,1.5,0,2.0,2.0,0.0,5,K
"Dustin Hopkins, WAS",1.2,1.4,0,1.5,1.5,0.0,5,K
"Zane Gonzalez, ARI",1.0,1.4,0,1.7,1.7,0.0,4,K
"Trevor Moore, TB",0.0,0.0,0,0.0,0.0,0.0,0,K
"Caleb Sturgis, LAC",0.0,0.0,0,0.0,0.0,0.0,0,K
"Nick Folk, TB",0.0,0.0,0,0.0,0.0,0.0,0,K
"Connor Barth, CHI",0.0,0.0,0,0.0,0.0,0.0,0,K
"Nick Rose, LAC",0.0,0.0,0,0.0,0.0,0.0,0,K
"Nick Novak, LAC",0.0,0.0,0,0.0,0.0,0.0,0,K
"Younghoe Koo, LAC",0.0,0.0,0,0.0,0.0,0.0,0,K
"Travis Coons, LAC",0.0,0.0,0,0.0,0.0,0.0,0,K
"Taylor Bertolet, NYJ",0.0,0.0,0,0.0,0.0,0.0,0,K
"Patrick Murray, TB",0.0,0.0,0,0.0,0.0,0.0,0,K
"Marshall Koehn, NYG",0.0,0.0,0,0.0,0.0,0.0,0,K
"Matt McCrane, PIT",0.0,0.0,0,0.0,0.0,0.0,0,K
"Tyler Davis, BUF",0.0,0.0,0,0.0,0.0,0.0,0,K
"Sam Ficken, LAR",0.0,0.0,0,0.0,0.0,0.0,0,K
"Blair Walsh, SEA",0.0,0.0,0,0.0,0.0,0.0,0,K
