Player,FG,FGA,FGLg,XP,XPAtt,XPB,FPTS,POS
"Greg Zuerlein, LAR",2.4,2.7,0,3.7,3.7,0.0,11,K
"Harrison Butker, KC",2.5,2.6,0,3.6,3.6,0.0,11,K
"Giorgio Tavecchio, ATL",2.3,3.0,0,3.3,3.3,0.0,10,K
"Justin Tucker, BAL",2.2,2.5,0,3.0,3.0,0.0,10,K
"Jake Elliott, PHI",2.1,2.6,0,3.0,3.0,0.0,9,K
"Josh Lambo, JAC",2.0,2.1,0,2.6,2.6,0.0,8,K
"Adam Vinatieri, IND",1.9,2.3,0,2.6,2.6,0.0,8,K
"Mike Badgley, LAC",1.8,2.2,0,2.8,2.8,0.0,8,K
"Stephen Gostkowski, NE",1.9,2.1,0,2.4,2.4,0.0,8,K
"Dan Bailey, MIN",1.7,2.1,0,2.7,2.7,0.0,8,K
"Matt Prater, DET",1.7,2.1,0,2.6,2.6,0.0,7,K
"Chandler Catanzaro, CAR",1.7,2.0,0,2.7,2.7,0.0,7,K
"Jason Myers, NYJ",1.9,2.1,0,2.0,2.0,0.0,7,K
"Brett Maher, DAL",1.7,1.9,0,2.4,2.4,0.0,7,K
"Ka'imi Fairbairn, HOU",1.8,2.2,0,1.9,1.9,0.0,7,K
"Wil Lutz, NO",1.6,1.9,0,2.5,2.5,0.0,7,K
"Robbie Gould, SF",1.7,1.8,0,2.1,2.1,0.0,7,K
"Stephen Hauschka, BUF",1.7,1.9,0,1.9,1.9,0.0,7,K
"Aldrick Rosas, NYG",1.6,1.9,0,2.3,2.3,0.0,7,K
"Dustin Hopkins, WAS",1.6,1.9,0,2.2,2.2,0.0,7,K
"Graham Gano, CAR",1.6,1.7,0,2.0,2.0,0.0,7,K
"Brandon McManus, DEN",1.5,1.7,0,2.2,2.2,0.0,6,K
"Randy Bullock, CIN",1.4,1.7,0,2.5,2.5,0.0,6,K
"Ryan Succop, TEN",1.5,1.7,0,1.9,1.9,0.0,6,K
"Greg Joseph, CLE",1.4,1.7,0,2.3,2.3,0.0,6,K
"Phil Dawson, ARI",1.4,1.9,0,2.0,2.0,0.0,6,K
"Jason Sanders, MIA",1.3,1.4,0,2.2,2.2,0.0,6,K
"Cody Parkey, CHI",1.3,1.6,0,2.2,2.2,0.0,6,K
"Trevor Moore, TB",0.0,0.0,0,0.0,0.0,0.0,0,K
"Zane Gonzalez, ARI",0.0,0.0,0,0.0,0.0,0.0,0,K
"Nick Folk, TB",0.0,0.0,0,0.0,0.0,0.0,0,K
"Connor Barth, CHI",0.0,0.0,0,0.0,0.0,0.0,0,K
"Nick Rose, LAC",0.0,0.0,0,0.0,0.0,0.0,0,K
"Kai Forbath, JAC",0.0,0.0,0,0.0,0.0,0.0,0,K
"Nick Novak, LAC",0.0,0.0,0,0.0,0.0,0.0,0,K
"Younghoe Koo, LAC",0.0,0.0,0,0.0,0.0,0.0,0,K
"Travis Coons, LAC",0.0,0.0,0,0.0,0.0,0.0,0,K
"Taylor Bertolet, NYJ",0.0,0.0,0,0.0,0.0,0.0,0,K
"Patrick Murray, TB",0.0,0.0,0,0.0,0.0,0.0,0,K
"Marshall Koehn, NYG",0.0,0.0,0,0.0,0.0,0.0,0,K
"Tyler Davis, BUF",0.0,0.0,0,0.0,0.0,0.0,0,K
"Cairo Santos, TB",0.0,0.0,0,0.0,0.0,0.0,0,K
