Player,Int,Sty,Sack,TK,DFR,FF,DTD,Pa,PaNetA,RuYdA,TyDa,FPTS,POS
"Titans, TEN",2.2,0.0,3.1,33.2,0.6,0.8,0.35,11.7,156.0,76.0,232,20,DST
"Steelers, PIT",0.8,0.0,3.1,42.1,1.0,1.4,0.22,13.8,195.0,96.0,291,16,DST
"Seahawks, SEA",1.1,0.0,2.3,40.8,0.8,1.1,0.23,13.5,191.0,86.0,277,15,DST
"Vikings, MIN",1.6,0.0,2.6,45.8,0.7,1.0,0.33,14.4,190.0,103.0,293,15,DST
"Jaguars, JAC",0.8,0.1,3.5,39.6,1.0,1.4,0.28,20.2,188.0,101.0,289,14,DST
"Panthers, CAR",0.8,0.2,2.0,44.3,1.3,1.8,0.26,18.5,153.0,141.0,294,14,DST
"Broncos, DEN",1.1,0.0,2.4,39.4,0.9,1.2,0.26,18.9,202.0,76.0,278,13,DST
"Cowboys, DAL",0.8,0.0,3.0,39.8,0.9,1.2,0.23,17.9,174.0,109.0,283,13,DST
"Rams, LAR",1.3,0.1,3.1,42.0,0.9,1.2,0.32,19.5,253.0,92.0,345,13,DST
"Ravens, BAL",0.9,0.0,2.1,38.4,1.0,1.4,0.26,18.3,178.0,91.0,269,13,DST
"Chargers, LAC",1.1,0.0,3.1,41.4,0.9,1.3,0.26,20.4,212.0,109.0,321,12,DST
"Dolphins, MIA",1.1,0.0,2.5,42.5,0.9,1.2,0.29,16.6,208.0,115.0,323,12,DST
"Saints, NO",1.1,0.0,2.6,41.2,0.8,1.2,0.26,17.6,199.0,113.0,312,11,DST
"Bills, BUF",1.5,0.0,1.9,41.4,0.5,0.6,0.27,17.7,271.0,94.0,365,11,DST
"Eagles, PHI",0.7,0.0,1.5,44.3,1.3,1.8,0.31,18.6,265.0,104.0,369,11,DST
"Cardinals, ARI",0.9,0.1,1.9,39.5,1.0,1.3,0.24,23.3,206.0,90.0,296,11,DST
"Jets, NYJ",0.9,0.0,1.3,38.6,0.5,0.7,0.2,16.3,159.0,105.0,264,11,DST
"Giants, NYG",1.3,0.0,2.2,40.3,0.5,0.7,0.23,15.9,217.0,95.0,312,11,DST
"Bengals, CIN",1.3,0.0,1.9,43.7,0.3,0.4,0.2,20.4,224.0,109.0,333,10,DST
"Bears, CHI",1.0,0.0,2.6,42.4,0.7,0.9,0.23,22.6,208.0,113.0,321,9,DST
"Chiefs, KC",1.1,0.0,1.7,37.3,0.6,0.8,0.37,21.1,203.0,109.0,312,9,DST
"Browns, CLE",1.1,0.0,1.8,43.6,0.7,1.0,0.22,23.3,231.0,113.0,344,8,DST
"Colts, IND",1.0,0.0,1.5,43.9,0.7,1.0,0.24,21.7,188.0,157.0,345,8,DST
"Raiders, OAK",0.4,0.0,2.3,43.7,1.0,1.3,0.2,26.2,243.0,131.0,374,8,DST
"Packers, GB",0.8,0.1,1.5,47.5,0.8,1.1,0.23,23.3,278.0,107.0,385,8,DST
"Patriots, NE",0.8,0.0,1.9,41.9,0.5,0.7,0.27,21.9,288.0,110.0,398,8,DST
"Buccaneers, TB",0.5,0.0,2.7,43.1,0.7,0.9,0.14,23.6,196.0,134.0,330,7,DST
"49ers, SF",0.5,0.0,1.6,43.8,0.7,1.0,0.16,25.5,244.0,126.0,370,6,DST
"Redskins, WAS",0.8,0.0,2.1,45.2,0.9,1.2,0.24,27.2,226.0,130.0,356,6,DST
