Player,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,2PT
AJ McCarron,OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Aaron Rodgers,GB,275.6519545229294,2.7891472868217058,0.49173228346456693,18.751629900984216,0.08888888888888889,0.0,0.0,0.0,0.12
Alex Smith,WAS,250.0,1.5462983344339278,0.49173228346456693,24.8911148070098,0.08888888888888889,0.0,0.0,0.0,0.04
Andrew Luck,IND,274.7,1.8610878368942885,0.7,16.916185330049608,0.21,0.0,0.0,0.0,0.07
Andy Dalton,CIN,267.7803529650895,1.5462983344339278,0.92,7.027760870720982,0.08888888888888889,0.0,0.0,0.0,0.07
Baker Mayfield,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Ben Roethlisberger,PIT,297.8,1.8610878368942885,0.9,5.895057428291005,0.0,0.0,0.0,0.0,0.06
Blaine Gabbert,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Blake Bortles,JAX,222.33,1.0132896764252697,1.0,25.0,0.08888888888888889,0.0,0.0,0.0,0.06
Brandon Weeden,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Brett Hundley,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Brian Hoyer,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Brock Osweiler,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
C.J. Beathard,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Cam Newton,CAR,226.9321161613194,1.5462983344339278,0.56,33.88290087646522,0.3,0.0,0.0,0.0,0.02
Case Keenum,DEN,249.3717230695207,1.5462983344339278,0.49173228346456693,6.348149257056409,0.08888888888888889,0.0,0.0,0.0,0.05
Chad Henne,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Chad Kelly,FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Chase Daniel,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Cody Kessler,JAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Colt McCoy,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Cooper Rush,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Dak Prescott,DAL,200.9,1.0132896764252697,0.49173228346456693,19.30037399551803,0.3,0.0,0.0,0.0,0.05
David Fales,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
DeShone Kizer,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Derek Carr,OAK,259.88277301174406,1.5462983344339278,1.0,5.895057428291005,0.0,0.0,0.0,0.0,0.07
Deshaun Watson,HOU,277.02309384936177,1.5462983344339278,1.099743751925915,27.5,0.3,0.0,0.0,0.0,0.02
Drew Brees,NO,340.0,3.0,0.55,5.614501872735448,0.08888888888888889,0.0,0.0,0.0,0.01
Eli Manning,NYG,235.7389562753154,1.5462983344339278,1.099743751925915,5.614501872735448,0.08888888888888889,0.0,0.0,0.0,0.1
Geno Smith,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Jacoby Brissett,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Jared Goff,LAR,261.40204917096975,1.8610878368942885,0.49173228346456693,5.8538580513439635,0.08888888888888889,0.0,0.0,0.0,0.02
Jimmy Garoppolo,SF,264.7473058235663,1.5462983344339278,0.65,7.5353462109785365,0.08888888888888889,0.0,0.0,0.0,0.01
Joe Flacco,BAL,230.71865041094588,1.5462983344339278,0.657044107965767,5.973515284895273,0.08888888888888889,0.0,0.0,0.0,0.04
Josh Allen,BUF,0.0,0.0,0.7408045977011494,19.8,0.0,0.0,0.0,0.0,0.01
Josh McCown,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Josh Rosen,ARI,0.0,0.0,0.7408045977011494,0.0,0.0,0.0,0.0,0.0,0.01
Joshua Dobbs,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Kirk Cousins,MIN,273.32466687071326,1.8610878368942885,0.62,8.057808902622117,0.08888888888888889,0.0,0.0,0.0,0.02
Kyle Lauletta,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Marcus Mariota,TEN,205.1,1.0132896764252697,0.657044107965767,20.569523639189285,0.2,0.0,0.0,0.0,0.14
Matt Cassel,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Matt Ryan,ATL,269.3284461744435,1.5462983344339278,0.94,6.003095631275101,0.08888888888888889,0.0,0.0,0.0,0.01
Matt Schaub,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Matthew Stafford,DET,280.0,1.7,0.49173228346456693,6.3,0.08888888888888889,0.0,0.0,0.0,0.07
Mitchell Trubisky,CHI,223.2168828751765,1.5,0.7,19.65760646409977,0.08888888888888889,0.0,0.0,0.0,0.04
Nate Sudfeld,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Nathan Peterman,OAK,156.0,0.9,0.657044107965767,13.66,0.08888888888888889,0.0,0.0,0.0,0.02
Nick Foles,PHI,238.04209070043825,1.8610878368942885,0.657044107965767,5.8538580513439635,0.08888888888888889,0.0,0.0,0.0,0.12
Patrick Mahomes,KC,263.7568652349663,1.8610878368942885,1.0,18.817191741093964,0.08888888888888889,0.0,0.0,0.0,0.03
Philip Rivers,LAC,309.4949068289311,2.4186147186147187,0.657044107965767,4.93,0.0,0.0,0.0,0.0,0.11
Robert Griffin III,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Russell Wilson,SEA,250.81035685382213,1.5462983344339278,0.657044107965767,26.3,0.08888888888888889,0.0,0.0,0.0,0.07
Ryan Fitzpatrick,TB,280.0,1.5462983344339278,0.7,14.9,0.08888888888888889,0.0,0.0,0.0,0.05
Ryan Tannehill,MIA,253.20612829863904,1.5462983344339278,1.099743751925915,12.631739461725505,0.08888888888888889,0.0,0.0,0.0,0.06
Sam Bradford,FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
Sam Darnold,NYJ,229.84250752557855,1.3,1.099743751925915,6.131795384743998,0.08888888888888889,0.0,0.0,0.0,0.06
Sean Mannion,LAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
