Player,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,2PT
A.J. Green,CIN,0.0,0.0,6.228297736054139,86.60808794819282,0.5997074412481036,0.0,0.0,0.0,0.0
Adam Humphries,TB,0.37,0.0,2.796666666666667,30.570000000000004,0.115,0.0,0.0,0.0,0.0
Adam Thielen,MIN,0.52,0.0,5.05,68.795,0.2916666666666667,0.0,0.0,0.0,0.0
Albert Wilson,MIA,0.8144755102970336,0.0,3.3051065373820685,42.403511641160826,0.16919048887149798,0.0,0.0,0.0,0.0
Alex Erickson,CIN,0.40599999999999997,0.0,0.7480392480003438,8.509388525435265,0.07251220365820414,0.0,0.0,0.0,0.0
Allen Hurns,DAL,0.0,0.0,3.323333333333333,43.93,0.18499999999999997,0.0,0.0,0.0,0.01
Allen Robinson,CHI,0.0,0.0,4.3999999999999995,64.09166666666667,0.3166666666666667,0.0,0.0,0.0,0.01
Amari Cooper,DAL,0.466,0.002,4.509475063130254,60.47175605019359,0.35102872487456965,0.0,0.0,0.0,0.01
Andre Holmes,DEN,0.0,0.0,1.016888732253798,12.580270195862276,0.10380771890364492,0.0,0.0,0.0,0.0
Andre Roberts,NYJ,0.08062554317465184,0.0,0.534872623076892,6.51662011946983,0.07145539961868545,0.0,0.0,0.0,0.0
Anthony Miller,CHI,0.33399999999999996,0.0,2.5566666666666666,35.376666666666665,0.13999999999999999,0.0,0.0,0.0,0.0
Antonio Brown,PIT,0.02,0.0,7.226666666666667,104.76166666666666,0.6783333333333333,0.0,0.0,0.0,0.01
Antonio Callaway,CLE,0.45199999999999996,0.0,2.8166666666666664,34.82666666666666,0.135,0.0,0.0,0.0,0.01
Austin Carr,NO,0.7,0.002,1.6762421650360357,23.12470590831036,0.12432816840341415,0.0,0.0,0.0,0.0
Bradley Marquez,FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandin Cooks,LAR,2.3280000000000003,0.002,4.401666666666666,64.47666666666667,0.5066666666666667,0.0,0.0,0.0,0.01
Brandon LaFell,OAK,0.0,0.0,1.8738503218884175,22.2849297859031,0.10765899467213358,0.0,0.0,0.0,0.0
Brandon Marshall,FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Zylstra,MIN,0.030000000000000006,0.002,0.3828106924534586,4.642227472181848,0.006363745635310526,0.0,0.0,0.0,0.0
Bruce Ellington,DET,1.276,0.0,3.2987705030789485,37.359869194998154,0.1448736481917288,0.0,0.0,0.0,0.0
Calvin Ridley,ATL,0.6679999999999999,0.0,3.106666666666667,38.40833333333333,0.16000000000000003,0.0,0.0,0.0,0.0
Cam Sims,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameron Meredith,NO,0.0,0.0,1.5416833436809105,19.051912578351605,0.08706279261470574,0.0,0.0,0.0,0.0
Chad Williams,ARI,2.1079999999999997,0.004,1.8,24.685000000000002,0.11000000000000003,0.0,0.0,0.0,0.0
Chester Rogers,IND,0.9799999999999999,0.002,2.4266666666666667,31.705000000000002,0.12166666666666666,0.0,0.0,0.0,0.0
Chris Conley,KC,0.0,0.0,1.9133333333333333,23.49166666666667,0.09166666666666667,0.0,0.0,0.0,0.0
Chris Godwin,TB,0.004,0.0,2.7566666666666664,37.54833333333334,0.155,0.0,0.0,0.0,0.0
Chris Hogan,NE,1.486,0.002,4.758333333333334,64.685,0.5766666666666667,0.0,0.0,0.0,0.0
Chris Moore,BAL,0.574,0.0,1.3928972241226234,15.217272130230421,0.12510278023837482,0.0,0.0,0.0,0.0
Christian Kirk,ARI,0.4036986202316588,0.0025001305102038004,2.535305206020302,32.37235596915196,0.14846357261865772,0.0,0.0,0.0,0.01
Cody Latimer,NYG,0.0,0.0,1.9183333333333332,23.02,0.07833333333333332,0.0,0.0,0.0,0.02
Cole Beasley,DAL,0.02,0.0,3.126666666666667,33.18666666666667,0.10833333333333335,0.0,0.0,0.0,0.0
Cooper Kupp,LAR,0.0,0.0,4.254255024954993,54.41678976674525,0.5036685989179278,0.0,0.0,0.0,0.0
Cordarrelle Patterson,NE,6.6,0.042,2.061666666666667,23.598333333333333,0.09999999999999999,0.0,0.0,0.0,0.0
Corey Davis,TEN,0.02,0.0,4.441666666666666,57.83833333333333,0.2816666666666667,0.0,0.0,0.0,0.0
Courtland Sutton,DEN,0.278,0.0,2.9183333333333334,39.60333333333333,0.17500000000000002,0.0,0.0,0.0,0.0
D.J. Chark,JAX,0.5740000000000001,0.0,1.7516666666666667,24.35166666666667,0.11833333333333333,0.0,0.0,0.0,0.0
D.J. Moore,CAR,1.2920000000000003,0.002,2.795,35.165,0.20666666666666667,0.0,0.0,0.0,0.01
DaeSean Hamilton,DEN,0.248,0.0,1.566732443614896,18.940221568499716,0.16541268473628531,0.0,0.0,0.0,0.0
Damiere Byrd,CAR,0.835430455130909,0.0,0.3724910793238423,3.8119587214359485,0.05750590121321313,0.0,0.0,0.0,0.0
Damion Ratley,CLE,0.044,0.0,0.16595474416622777,1.9472688225067458,0.00570321205376438,0.0,0.0,0.0,0.0
Danny Amendola,MIA,0.266,0.0,4.986666666666666,51.06,0.18500000000000003,0.0,0.0,0.0,0.01
Dante Pettis,SF,0.8424217071366943,0.0,1.4430964294759514,17.747475619524934,0.09999999999999999,0.0,0.0,0.0,0.0
Darius Jennings,TEN,0.0,0.0,0.3337066817150296,3.584977449386415,0.0019010706845881268,0.0,0.0,0.0,0.0
Darrius Heyward-Bey,PIT,1.0479999999999998,0.0,0.16744467844210834,2.303165029722249,0.0,0.0,0.0,0.0,0.0
Davante Adams,GB,0.0,0.0,5.493333333333333,70.605,0.715,0.0,0.0,0.0,0.01
David Moore,SEA,0.021794393181612977,0.0,0.6590236514426221,10.023126952921627,0.06176340307464422,0.0,0.0,0.0,0.0
DeAndre Carter,HOU,0.10300139723923926,0.0,2.2955237228073364,24.232936929849036,0.16408190545206877,0.0,0.0,0.0,0.0
DeAndre Hopkins,HOU,0.02,0.0,6.451666666666667,93.27666666666666,0.6933333333333334,0.0,0.0,0.0,0.01
DeSean Jackson,TB,1.6640000000000001,0.002,3.265,49.04,0.37333333333333335,0.0,0.0,0.0,0.01
Deante Burton,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dede Westbrook,JAX,0.05600000000000001,0.0,3.0050000000000003,43.491666666666674,0.36166666666666664,0.0,0.0,0.0,0.0
Demarcus Robinson,KC,0.0,0.0,1.045833104379079,11.37987546655026,0.0366906503046349,0.0,0.0,0.0,0.0
Demaryius Thomas,HOU,0.0,0.0,5.3891667121939255,64.37377305767946,0.39999999999999997,0.0,0.0,0.0,0.01
Devin Funchess,CAR,0.0,0.0,3.5850000000000004,51.276666666666664,0.5133333333333333,0.0,0.0,0.0,0.01
Donte Moncrief,JAX,0.0,0.0,3.188333333333334,40.73,0.20333333333333334,0.0,0.0,0.0,0.01
Doug Baldwin,SEA,0.5599999999999999,0.0,4.916666666666666,62.873333333333335,0.5466666666666666,0.0,0.0,0.0,0.01
