Player,POS,Team,Receptions,Rec Yds,Rec TD
Zach Ertz,TE,PHI,7,70,1
Travis Kelce,TE,KC,6,70,1
Eric Ebron,TE,IND,6,65,1
George Kittle,TE,SF,6,65,1
Jared Cook,TE,OAK,5,60,1
Rob Gronkowski,TE,NE,3,50,1
David Njoku,TE,CLE,4,50,1
Vance McDonald,TE,PIT,4,40,1
Jordan Reed,TE,WAS,6,55,0
Evan Engram,TE,NYG,4,50,0
Trey Burton,TE,CHI,4,45,0
C.J. Uzomah,TE,CIN,4,45,0
Chris Herndon,TE,NYJ,4,40,0
Kyle Rudolph,TE,MIN,4,40,0
Jonnu Smith,TE,TEN,4,40,0
Ian Thomas,TE,CAR,4,40,0
Cameron Brate,TE,TB,3,35,0
Gerald Everett,TE,LAR,3,35,0
Jimmy Graham,TE,GB,3,35,0
Matt LaCosse,TE,DEN,3,35,0
Ricky Seals-Jones,TE,ARI,3,35,0
Ryan Griffin,TE,HOU,3,30,0
Austin Hooper,TE,ATL,3,30,0
Nick Vannett,TE,SEA,3,30,0
Vernon Davis,TE,WAS,2,25,0
James O'Shaughnessy,TE,JAX,2,25,0
Mark Andrews,TE,BAL,2,20,0
Charles Clay,TE,BUF,2,20,0
Ed Dickson,TE,SEA,2,20,0
Mike Gesicki,TE,MIA,2,20,0
Blake Jarwin,TE,DAL,2,20,0
Benjamin Watson,TE,NO,2,20,0
Rhett Ellison,TE,NYG,1,15,0
Antonio Gates,TE,LAC,2,15,0
Virgil Green,TE,LAC,2,15,0
Nick Boyle,TE,BAL,1,10,0
Rico Gathers,TE,DAL,1,10,0
Dallas Goedert,TE,PHI,1,10,0
Demetrius Harris,TE,KC,1,10,0
Tyler Higbee,TE,LAR,1,10,0
Hayden Hurst,TE,BAL,1,10,0
Jesse James,TE,PIT,1,10,0
Lance Kendricks,TE,GB,1,10,0
Logan Thomas,TE,BUF,1,10,0
Levine Toilolo,TE,DET,1,10,0
Luke Willson,TE,DET,1,10,0
